Section,Target Set,Count,Column4,Row,Col,RawDataPath,File Name,Plate Barcode,IBT Barcode,Anchor_conc,Anchor_name,CELL LINE,RUN,SET,date,notes,CMPD1,DOSE1,CMPD2,DOSE2,Func,TimePoint,CellLine,Count_FA,Count_Z,Count_RobustZ
A - 1,Summary,10185,,A,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""dmso""",0.0,"""DMSO""",0.0,"""NEG""",0.0,0.0,-2.33882780719781e-002,0.313804627270113,0.476712328767123
A - 2,Summary,11129,,A,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""dmso""",0.0,"""DMSO""",0.0,"""NEG""",0.0,0.0,-0.118241349696912,1.58646491868121,2.20091324200913
A - 3,Summary,4560,,A,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,0.541811433676169,-7.26957899475047,-9.7972602739726
A - 4,Summary,4477,,A,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,0.550151269422853,-7.38147603308428,-9.94885844748858
A - 5,Summary,4956,,A,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,0.502021373969099,-6.73570878776022,-9.07397260273973
A - 6,Summary,4713,,A,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,0.526438001516619,-7.06331096023151,-9.51780821917808
A - 7,Summary,7955,,A,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,0.200682007652176,-2.69258567977094,-3.59634703196347
A - 8,Summary,8441,,A,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,0.151848752557136,-2.03738133482836,-2.70867579908676
A - 9,Summary,8012,,A,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,0.194954650573128,-2.61574072573446,-3.49223744292237
A - 10,Summary,9101,,A,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,8.5531986378687e-002,-1.14759765651128,-1.50319634703196
A - 11,Summary,8944,,A,11,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303163E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,0.101307338333257,-1.35925831938367,-1.78995433789954
A - 12,Summary,9007,,A,12,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303163E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,9.49771015616782e-002,-1.27432442281704,-1.67488584474886
A - 13,Summary,9107,,A,13,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030058_1\4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,4x_DAPI_030058_1.2020.02.13.17.30.30.CSV,30058,Day3,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303163E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,8.49291066861556e-002,-1.13950871398112,-1.49223744292237
