Section,Target Set,Count,Column4,Row,Col,RawDataPath,File Name,Plate Barcode,IBT Barcode,Anchor_conc,Anchor_name,CELL LINE,RUN,SET,date,notes,CMPD1,DOSE1,CMPD2,DOSE2,Func,TimePoint,CellLine,Count_FA,Count_Z,Count_RobustZ
A - 1,Summary,886,,A,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""dmso""",0.0,"""DMSO""",0.0,"""NEG""",0.0,0.0,-3.07007179860037e-002,0.534517250845475,0.506849315068493
A - 2,Summary,838,,A,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""dmso""",0.0,"""DMSO""",0.0,"""NEG""",0.0,0.0,2.51385985640281e-002,-0.437677535772231,-0.808219178082192
A - 3,Summary,815,,A,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,5.18949377442517e-002,-0.903520871026549,-1.43835616438356
A - 4,Summary,896,,A,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,-4.2333908933927e-002,0.73705783139083,0.780821917808219
A - 5,Summary,892,,A,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,-3.76806325547576e-002,0.656041599172688,0.671232876712329
A - 6,Summary,821,,A,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",2.9971527049303204E-8,"""DMSO""",0.0,"""SING""",0.0,0.0,4.49150231754977e-002,-0.781996522699336,-1.27397260273973
A - 7,Summary,767,,A,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,0.107734254294284,-1.87571565764426,-2.75342465753425
A - 8,Summary,826,,A,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,3.9098427701536e-002,-0.680726232426658,-1.13698630136986
A - 9,Summary,810,,A,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,5.77115332182133e-002,-1.00479116129923,-1.57534246575342
A - 10,Summary,843,,A,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\Combination_2020\rawdata\run1\4x_DAPI_030057_1\4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,4x_DAPI_030057_1.2020.02.13.17.25.34.CSV,30057,Day0,,,A2780ip2,1,1,20200206,,"""KPT-330""",9.99000999000999E-9,"""DMSO""",0.0,"""SING""",0.0,0.0,1.93220030900665e-002,-0.336407245499554,-0.671232876712329
