PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,0,30.1995172040202,5.97591105620754,nM
1,17-DMAG,KPT-330,0,30.1995172040202,7.95243977764052,nM
1,17-DMAG,KPT-330,0,30.1995172040202,8.0142063001853,nM
1,17-DMAG,KPT-330,0,30.1995172040202,3.70599135268684,nM
1,17-DMAG,KPT-330,0,30.1995172040202,18.9777640518839,nM
1,17-DMAG,KPT-330,0,30.1995172040202,14.9011735639284,nM
1,17-DMAG,KPT-330,0,30.1995172040202,9.40395305744287,nM
1,17-DMAG,KPT-330,0,30.1995172040202,11.473131562693,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.5807078957604,nM
1,17-DMAG,KPT-330,0,54.9540873857625,27.80241151303,nM
1,17-DMAG,KPT-330,0,54.9540873857625,32.2987164527421,nM
1,17-DMAG,KPT-330,0,54.9540873857625,30.1672500972384,nM
1,17-DMAG,KPT-330,0,54.9540873857625,21.9836639439907,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.5340334500194,nM
1,17-DMAG,KPT-330,0,54.9540873857625,20.2255931544146,nM
1,17-DMAG,KPT-330,0,54.9540873857625,24.87747957993,nM
1,17-DMAG,KPT-330,0,54.9540873857625,18.1563593932322,nM
1,17-DMAG,KPT-330,0,54.9540873857625,33.0299494360171,nM
1,17-DMAG,KPT-330,0,54.9540873857625,21.5169194865811,nM
1,17-DMAG,KPT-330,0,54.9540873857625,11.9642162582653,nM
1,17-DMAG,KPT-330,0,54.9540873857625,21.0657331777518,nM
1,17-DMAG,KPT-330,0,54.9540873857625,24.4574095682614,nM
1,17-DMAG,KPT-330,0,54.9540873857625,23.9284325165305,nM
1,17-DMAG,KPT-330,0,54.9540873857625,23.9751069622715,nM
1,17-DMAG,KPT-330,0,54.9540873857625,34.0163303034971,nM
1,17-DMAG,KPT-330,0,54.9540873857625,27.515020798028,nM
1,17-DMAG,KPT-330,0,54.9540873857625,20.181790171006,nM
1,17-DMAG,KPT-330,0,54.9540873857625,28.6242489600986,nM
1,17-DMAG,KPT-330,0,54.9540873857625,26.7293175165614,nM
1,17-DMAG,KPT-330,0,54.9540873857625,22.0459097211524,nM
1,17-DMAG,KPT-330,0,54.9540873857625,17.8400862733015,nM
1,17-DMAG,KPT-330,0,54.9540873857625,27.2377137575104,nM
1,17-DMAG,KPT-330,0,54.9540873857625,29.0402095208751,nM
1,17-DMAG,KPT-330,0,54.9540873857625,31.7054382991835,nM
1,17-DMAG,KPT-330,0,54.9540873857625,20.2280080110923,nM
1,17-DMAG,KPT-330,0,54.9540873857625,24.1103065783392,nM
1,17-DMAG,KPT-330,0,54.9540873857625,23.0164843629641,nM
1,17-DMAG,KPT-330,0,54.9540873857625,19.1033739023263,nM
1,17-DMAG,KPT-330,0,54.9540873857625,15.3597288553382,nM
1,17-DMAG,KPT-330,0,54.9540873857625,25.4198120474503,nM
1,17-DMAG,KPT-330,0,100,37.9304834198961,nM
1,17-DMAG,KPT-330,0,100,26.3124250898921,nM
1,17-DMAG,KPT-330,0,100,23.0363563723532,nM
1,17-DMAG,KPT-330,0,100,28.5337594886137,nM
1,17-DMAG,KPT-330,0,100,29.7003595685178,nM
1,17-DMAG,KPT-330,0,100,33.7914502596884,nM
1,17-DMAG,KPT-330,0,100,30.9468637634838,nM
1,17-DMAG,KPT-330,0,100,34.1590091889732,nM
1,17-DMAG,KPT-330,0,100,27.7347183379944,nM
1,17-DMAG,KPT-330,0,100,34.9420695165801,nM
1,17-DMAG,KPT-330,0,100,34.9580503395925,nM
1,17-DMAG,KPT-330,0,100,26.7598881342389,nM
1,17-DMAG,KPT-330,0,100,39.3847383140232,nM
1,17-DMAG,KPT-330,0,100,28.3100279664403,nM
1,17-DMAG,KPT-330,0,100,34.8941270475429,nM
1,17-DMAG,KPT-330,0,100,36.3004394726328,nM
1,17-DMAG,KPT-330,0,100,34.4718992248062,nM
1,17-DMAG,KPT-330,0,100,22.827842377261,nM
1,17-DMAG,KPT-330,0,100,32.7438630490956,nM
1,17-DMAG,KPT-330,0,100,33.1153100775194,nM
1,17-DMAG,KPT-330,0,100,25.734819121447,nM
1,17-DMAG,KPT-330,0,100,28.4802971576227,nM
1,17-DMAG,KPT-330,0,100,32.0978682170543,nM
1,17-DMAG,KPT-330,0,100,34.8271963824289,nM
1,17-DMAG,KPT-330,0,100,67.2884366925065,nM
