PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,7.10497101270507,nM
1,17-DMAG,KPT-330,0,0,9.44229048613182,nM
1,17-DMAG,KPT-330,0,0,2.61855055174471,nM
1,17-DMAG,KPT-330,0,0,7.8198628094244,nM
1,17-DMAG,KPT-330,0,0,5.95884282731882,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,8.54825039351011,nM
1,17-DMAG,KPT-330,0,0,8.6330064172418,nM
1,17-DMAG,KPT-330,0,0,13.1250756750212,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0.920208257658312,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,7.76403425309229,nM
1,17-DMAG,KPT-330,0,0,3.80589914367269,nM
1,17-DMAG,KPT-330,0,0,12.9400570884872,nM
1,17-DMAG,KPT-330,0,0,9.71772914684428,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,1.11929131501766,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0.772131441910576,nM
1,17-DMAG,KPT-330,0,0,13.0304662716227,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,14.3831926737296,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,1.13448980937933,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,1.20044851922696,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0.493742105867493,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0.654870600088156,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,2.41798375417165,nM
1,17-DMAG,KPT-330,0,0,3.63956929664379,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0,nM
1,17-DMAG,KPT-330,0,0,0.817888002110679,nM
1,17-DMAG,KPT-330,0,0,0.844271486049733,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,10,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,1.38513290680034,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,2.86260800738738,nM
