Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
brefeldin A,Selinexor,0,54.9540873857625,20.4955820207453,nM
brefeldin A,Selinexor,0,54.9540873857625,17.8832116788321,nM
brefeldin A,Selinexor,0,54.9540873857625,11.0833653476758,nM
brefeldin A,Selinexor,0,54.9540873857625,16.1928543987706,nM
brefeldin A,Selinexor,0,54.9540873857625,18.7668075297733,nM
brefeldin A,Selinexor,0,54.9540873857625,28.3711102573953,nM
brefeldin A,Selinexor,0,54.9540873857625,17.8447944679216,nM
brefeldin A,Selinexor,0,54.9540873857625,17.0380330388014,nM
brefeldin A,Selinexor,0,54.9540873857625,21.6096811371494,nM
brefeldin A,Selinexor,0,54.9540873857625,22.6853630426431,nM
brefeldin A,Selinexor,0,54.9540873857625,17.2301190933538,nM
brefeldin A,Selinexor,0,54.9540873857625,10.315021129466,nM
brefeldin A,Selinexor,0,100,19.0616991917997,nM
brefeldin A,Selinexor,0,100,31.6380839739799,nM
brefeldin A,Selinexor,0,100,31.3226887443327,nM
brefeldin A,Selinexor,0,100,33.1362113148039,nM
brefeldin A,Selinexor,0,100,29.9822590183323,nM
brefeldin A,Selinexor,0,100,33.7275773703923,nM
brefeldin A,Selinexor,0,100,33.6881529666864,nM
brefeldin A,Selinexor,0,100,27.498521584861,nM
brefeldin A,Selinexor,0,100,31.0072935146856,nM
brefeldin A,Selinexor,0,100,27.8139168145082,nM
brefeldin A,Selinexor,0,100,21.5848610289769,nM
brefeldin A,Selinexor,0,100,31.4015375517445,nM
brefeldin A,Selinexor,0,100,30.5736250739208,nM
brefeldin A,Selinexor,0,100,32.5448452592155,nM
brefeldin A,Selinexor,0,100,24.7782377291543,nM
brefeldin A,Selinexor,0,100,24.5811157106249,nM
brefeldin A,Selinexor,0,100,34.7526118667455,nM
brefeldin A,Selinexor,0,100,34.7131874630396,nM
brefeldin A,Selinexor,0,100,36.4872856298048,nM
brefeldin A,Selinexor,0,100,34.8314606741573,nM
brefeldin A,Selinexor,0,199.526231496888,45.8790660546797,nM
brefeldin A,Selinexor,0,199.526231496888,48.1540610656556,nM
brefeldin A,Selinexor,0,199.526231496888,50.2694073039313,nM
brefeldin A,Selinexor,0,199.526231496888,53.0233486330074,nM
brefeldin A,Selinexor,0,199.526231496888,53.7018559169826,nM
brefeldin A,Selinexor,0,199.526231496888,52.065455996807,nM
brefeldin A,Selinexor,0,199.526231496888,46.1983636000798,nM
brefeldin A,Selinexor,0,199.526231496888,47.7549391339054,nM
brefeldin A,Selinexor,0,199.526231496888,43.4045100778288,nM
brefeldin A,Selinexor,0,199.526231496888,45.2803831570545,nM
brefeldin A,Selinexor,0,199.526231496888,45.8790660546797,nM
brefeldin A,Selinexor,0,199.526231496888,46.9167830772301,nM
brefeldin A,Selinexor,0,199.526231496888,50.2694073039313,nM
brefeldin A,Selinexor,0,199.526231496888,44.2825783276791,nM
brefeldin A,Selinexor,0,199.526231496888,45.4799441229296,nM
brefeldin A,Selinexor,0,199.526231496888,48.4733586110557,nM
brefeldin A,Selinexor,0,199.526231496888,50.6685292356815,nM
brefeldin A,Selinexor,0,199.526231496888,45.5198563161046,nM
brefeldin A,Selinexor,0,199.526231496888,55.3382558371583,nM
brefeldin A,Selinexor,0,199.526231496888,47.7948513270804,nM
brefeldin A,Selinexor,0,301.995172040202,62.9038317054846,nM
brefeldin A,Selinexor,0,301.995172040202,66.6604057099925,nM
brefeldin A,Selinexor,0,301.995172040202,65.7212622088655,nM
brefeldin A,Selinexor,0,301.995172040202,66.8106686701728,nM
brefeldin A,Selinexor,0,301.995172040202,63.1667918858002,nM
brefeldin A,Selinexor,0,301.995172040202,63.6927122464313,nM
brefeldin A,Selinexor,0,301.995172040202,63.0540946656649,nM
brefeldin A,Selinexor,0,301.995172040202,66.885800150263,nM
brefeldin A,Selinexor,0,301.995172040202,64.068369646882,nM
brefeldin A,Selinexor,0,301.995172040202,65.8339594290008,nM
brefeldin A,Selinexor,0,301.995172040202,63.9932381667919,nM
brefeldin A,Selinexor,0,301.995172040202,64.8196844477836,nM
brefeldin A,Selinexor,0,301.995172040202,64.2186326070624,nM
brefeldin A,Selinexor,0,301.995172040202,64.7821187077385,nM
brefeldin A,Selinexor,0,301.995172040202,65.1953418482344,nM
brefeldin A,Selinexor,0,301.995172040202,60.1990984222389,nM
brefeldin A,Selinexor,0,301.995172040202,63.9556724267468,nM
brefeldin A,Selinexor,0,301.995172040202,65.6461307287754,nM
brefeldin A,Selinexor,0,301.995172040202,65.3831705484598,nM
brefeldin A,Selinexor,0,301.995172040202,59.5604808414726,nM
brefeldin A,Selinexor,3.01995172040202e-002,0,0,nM
brefeldin A,Selinexor,3.01995172040202e-002,30.1995172040202,0,nM
brefeldin A,Selinexor,3.01995172040202e-002,54.9540873857625,14.5024971187092,nM
brefeldin A,Selinexor,3.01995172040202e-002,100,23.5166568105657,nM
brefeldin A,Selinexor,3.01995172040202e-002,199.526231496888,41.6882857713031,nM
brefeldin A,Selinexor,3.01995172040202e-002,301.995172040202,65.1202103681442,nM
brefeldin A,Selinexor,0.1,0,0,nM
brefeldin A,Selinexor,0.1,0,0,nM
brefeldin A,Selinexor,0.1,30.1995172040202,1.14623775189499,nM
brefeldin A,Selinexor,0.1,30.1995172040202,2.9580329081161,nM
brefeldin A,Selinexor,0.1,54.9540873857625,12.0053784095275,nM
brefeldin A,Selinexor,0.1,54.9540873857625,15.5397618132924,nM
brefeldin A,Selinexor,0.1,100,29.745712596097,nM
brefeldin A,Selinexor,0.1,100,30.849595899862,nM
brefeldin A,Selinexor,0.1,199.526231496888,41.329076032728,nM
brefeldin A,Selinexor,0.1,199.526231496888,45.3602075434045,nM
brefeldin A,Selinexor,0.1,301.995172040202,61.7768595041322,nM
brefeldin A,Selinexor,0.1,301.995172040202,60.236664162284,nM
brefeldin A,Selinexor,0.301995172040202,0,0,nM
brefeldin A,Selinexor,0.301995172040202,0,0,nM
brefeldin A,Selinexor,0.301995172040202,30.1995172040202,3.73451654649658,nM
brefeldin A,Selinexor,0.301995172040202,30.1995172040202,0,nM
brefeldin A,Selinexor,0.301995172040202,54.9540873857625,27.794852093738,nM
brefeldin A,Selinexor,0.301995172040202,54.9540873857625,2.74683058009988,nM
brefeldin A,Selinexor,0.301995172040202,100,30.3765030553913,nM
brefeldin A,Selinexor,0.301995172040202,100,29.8639858072147,nM
brefeldin A,Selinexor,0.301995172040202,199.526231496888,41.7281979644781,nM
brefeldin A,Selinexor,0.301995172040202,199.526231496888,47.6751147475554,nM
brefeldin A,Selinexor,0.301995172040202,301.995172040202,61.8144252441773,nM
brefeldin A,Selinexor,0.301995172040202,301.995172040202,62.9038317054846,nM
brefeldin A,Selinexor,1,0,0,nM
brefeldin A,Selinexor,1,0,0,nM
brefeldin A,Selinexor,1,30.1995172040202,13.8288038454428,nM
brefeldin A,Selinexor,1,30.1995172040202,1.03531151784064,nM
brefeldin A,Selinexor,1,54.9540873857625,20.6492508643872,nM
brefeldin A,Selinexor,1,54.9540873857625,16.8843641951594,nM
brefeldin A,Selinexor,1,100,23.0041395623891,nM
brefeldin A,Selinexor,1,100,27.498521584861,nM
brefeldin A,Selinexor,1,199.526231496888,49.9900219517062,nM
brefeldin A,Selinexor,1,199.526231496888,44.083017361804,nM
brefeldin A,Selinexor,1,301.995172040202,62.4154770848986,nM
brefeldin A,Selinexor,1,301.995172040202,63.5424492862509,nM
brefeldin A,Selinexor,3.01995172040202,0,0,nM
brefeldin A,Selinexor,3.01995172040202,0,0,nM
brefeldin A,Selinexor,3.01995172040202,30.1995172040202,5.32445923460899,nM
brefeldin A,Selinexor,3.01995172040202,30.1995172040202,0,nM
brefeldin A,Selinexor,3.01995172040202,54.9540873857625,11.5443718786016,nM
brefeldin A,Selinexor,3.01995172040202,54.9540873857625,11.2754514022282,nM
brefeldin A,Selinexor,3.01995172040202,100,23.6743544253893,nM
brefeldin A,Selinexor,3.01995172040202,100,29.8245614035088,nM
brefeldin A,Selinexor,3.01995172040202,199.526231496888,39.7325883057274,nM
brefeldin A,Selinexor,3.01995172040202,199.526231496888,37.6172420674516,nM
brefeldin A,Selinexor,3.01995172040202,301.995172040202,61.8144252441773,nM
brefeldin A,Selinexor,3.01995172040202,301.995172040202,62.2276483846732,nM
brefeldin A,Selinexor,10,0,0,nM
brefeldin A,Selinexor,10,0,0,nM
brefeldin A,Selinexor,10,30.1995172040202,0,nM
brefeldin A,Selinexor,10,30.1995172040202,5.99001663893511,nM
brefeldin A,Selinexor,10,54.9540873857625,19.842489435267,nM
brefeldin A,Selinexor,10,54.9540873857625,10.0461006530926,nM
brefeldin A,Selinexor,10,100,30.5342006702149,nM
brefeldin A,Selinexor,10,100,31.7563571850976,nM
brefeldin A,Selinexor,10,199.526231496888,47.0764318499302,nM
brefeldin A,Selinexor,10,199.526231496888,47.9145879066055,nM
brefeldin A,Selinexor,10,301.995172040202,62.2276483846732,nM
brefeldin A,Selinexor,10,301.995172040202,65.7963936889557,nM
brefeldin A,Selinexor,30.1995172040202,0,72.8106373223292,nM
